,name,stars
698,AbbyLuHui/zk-auction,4
699,Contrax-co/contrax-web,4
700,AdamsFlorisbal/Desafio-semi-final-Hiring-Coders-3,4
701,sudopla/react-cognito-appsync,4
702,CrispenGari/node-startup,4
703,SbstnErhrdt/labeling,4
704,Project-Gutenberg/program-think,4
705,oveddan/webway_metaverse,4
706,umee-network/umee.cc,4
707,starcoinorg/starcoin-dao-frontend,4
708,webgalaxy315/polkabridge-dex,4
709,AdvaitaHealth/ADVAITA,4
710,ssteiger/the-dao-hack-simulation,4
711,finite-loop/finiteloop,4
712,farque65/Scaffold-eth-gitcoin-passport,4
713,0x-buidl/shopify-app-boilerplate,4
714,frasermcc9/sprint,4
715,jdiebold/foundst-rs,4
716,Moses-Ian/letters,4
717,cronosphantom/master-console,4
718,Programming-School-Pro-Coding/developer-portfolio,4
719,boulaffasae/sturdy-potato,4
720,sheriff-rango/nft-marketplace-practice,4
721,aroralanuk/semicolon-finance,4
722,openknowledgebe/website,4
723,zYxDevs/developerFolio,4
724,jb0xx/stable-supply,4
725,moriyadetteiu/clapton,4
726,DripMicro/Apollo-GrapQL-Mevn,4
727,broxus/octusbridge-contracts,4
728,miickel/ultimate-machine-web,4
729,andrewsmike/jasmine,4
730,Joatin/shelfdb,4
731,ryshu/vue-jsonpath-picker,4
732,deep-foundation/boilerplate,4
733,geprog/boydee,4
734,ConsenSys/infura-proxy-service,4
735,letteldream/Fastswap_launchspot,4
736,ysantalla/gespro,4
737,artdgn/dfk-interact,4
